,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,dependent_project_count,github_dependent_project_count,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,gitee_id,gitee_url,docs_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,new_addition
154,神楽坂暮雪/延河课堂视频下载,https://greasyfork.org/scripts/420055-%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD,,academic,['web'],,,2021-01-12 06:18:04.000,2021-01-12 10:40:09,,,,,,,,,,,,,,,下载延河课堂视频，方便下载.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,420055.0,https://greasyfork.org/scripts/420055,https://update.greasyfork.org/scripts/420055/%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E8%A7%86%E9%A2%91%E4%B8%8B%E8%BD%BD.user.js,205.0,5.0,
155,让北理工网站正常一点,https://greasyfork.org/scripts/33194-%E8%AE%A9%E5%8C%97%E7%90%86%E5%B7%A5%E7%BD%91%E7%AB%99%E6%AD%A3%E5%B8%B8%E4%B8%80%E7%82%B9,,edu-cn,['web'],,,2017-09-14 12:55:48.000,2017-11-24 15:27:19,,,,,,,,,,,,,,,让北理工网站能够在chrome/firefox/等上正常运行.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,33194.0,https://greasyfork.org/scripts/33194,https://update.greasyfork.org/scripts/33194/%E8%AE%A9%E5%8C%97%E7%90%86%E5%B7%A5%E7%BD%91%E7%AB%99%E6%AD%A3%E5%B8%B8%E4%B8%80%E7%82%B9.user.js,50.0,5.0,
156,钉钉i北理UI,https://github.com/yyysyyy/harmony-nb,yyysyyy/harmony-nb,misc,,https://github.com/yyysyyy/harmony-nb,,2024-01-06 16:44:52.000,2024-01-07 15:18:55,2024-01-07 15:18:50,5.0,,,1.0,,,,,,,,,,使用鸿蒙原生artks搭建了钉钉i北理的UI。.,,2,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,北京理工大学数据库复习总结,https://donglinkang2021.github.io/DatabaseReview/,donglinkang2021/DatabaseReview,learning,,https://github.com/donglinkang2021/DatabaseReview,,2023-06-16 01:19:43.000,2023-06-16 08:38:27,2023-06-16 08:37:23,2.0,,2.0,1.0,,,,12.0,,,,,,北京理工大学大二下数据库复习总结.,,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,BIT_Score_Inquiry,https://github.com/YaooXu/BIT_Score_Inquiry,YaooXu/BIT_Score_Inquiry,academic,,https://github.com/YaooXu/BIT_Score_Inquiry,,2019-08-09 06:46:30.000,2024-07-28 16:18:03,2024-07-28 16:18:03,12.0,,2.0,1.0,1.0,,1.0,11.0,,,,,,北理工成绩更新查询&&计算加权.,3.0,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,BITlife,https://github.com/shinianzhihou/BITlife,shinianzhihou/BITlife,learning,,https://github.com/shinianzhihou/BITlife,GPL-2.0,2019-06-05 11:16:07.000,2020-05-29 03:17:56,2020-05-29 03:17:55,10.0,,1.0,1.0,1.0,1.0,,6.0,2020-05-29 03:10:45.000,PDF,16.0,0.0,1.0,用来整理大学三年的一些资料个和个人总结.,2.0,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,ACM寒假集训,https://gitee.com/TastyHeadphones/BITACM,,exp,,,,2021-01-25 17:44:51.000,2024-09-28 22:32:23,,,,1.0,1.0,,,,4.0,,,,,,北京理工大学ACM集训ppt.,,1,True,3.0,,,,,,,,,TastyHeadphones/BITACM,https://gitee.com/TastyHeadphones/BITACM,,,,,,,,,,,,,,,,,
161,北理工自动签到脚本（研究生每晚宿舍签到）,https://github.com/WD11/bit_register_auto,WD11/bit_register_auto,misc,['python'],https://github.com/WD11/bit_register_auto,,2019-04-28 11:20:42.000,2019-07-09 09:16:14,2019-07-09 09:16:04,7.0,,,1.0,,,,3.0,,,,,,北理工自动签到.,2.0,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,BIT-thesis-template,https://github.com/PolarLion/BIT-thesis-template,PolarLion/BIT-thesis-template,template,['latex'],https://github.com/PolarLion/BIT-thesis-template,,2022-10-02 07:42:39.000,2022-10-03 05:35:54,2022-10-03 05:35:54,13.0,,,1.0,,,,2.0,,,,,,北京理工大学研究生毕业论文无bug模板-template for graduate thesis of Beijing Institute of Technology (No bug ver.).,,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,AutoBook,https://gitee.com/guang-ming-fu/auto-book,,cal,['java'],,GPL-3.0,2021-12-02 00:28:26.000,2023-01-16 19:37:52,,,,0.0,2.0,,,,2.0,,,,,,自动预约北理工图书馆自习室的脚本（由于网站更新，光速失效）.,,1,False,3.0,,,,,,,,,guang-ming-fu/auto-book,https://gitee.com/guang-ming-fu/auto-book,,,,,,,,,,,,,,,,,
164,BIT-linux-login,https://github.com/long-username/BIT-linux-login,long-username/BIT-linux-login,srun,['web'],https://github.com/long-username/BIT-linux-login,,2020-07-30 05:06:54.000,2020-07-30 05:08:18,2020-07-30 05:08:17,2.0,,,,,,,2.0,,,,,,北京理工大学，命令行-登陆客户端，支持 linux，windows 以及 macos。主要作为 ssh 远程登录.,,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,北京理工大学邮箱推送服务,https://github.com/lywly/BIT_Mail_Monitor,lywly/BIT_Mail_Monitor,misc,['python'],https://github.com/lywly/BIT_Mail_Monitor,,2022-05-03 13:53:55.000,2023-11-06 02:51:34,2023-11-06 02:51:34,10.0,,,1.0,,,,2.0,2022-05-07 07:51:33.000,2022.05.07,21.0,0.0,3.0,北京理工大学邮箱推送服务.,,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,问答：操作系统原理,https://github.com/YDX-2147483647/os_qa,YDX-2147483647/os_qa,learning,,https://github.com/YDX-2147483647/os_qa,,2022-10-31 06:56:50.000,2022-10-31 07:49:46,2022-10-31 07:49:28,12.0,,,1.0,,,,2.0,,,,,,问答：操作系统原理。 （2022年9月至10月）.,,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,bit正方教务处,https://gitee.com/felinae98/bitJwcToolkit,,academic,['python'],,GPL-2.0,2017-10-24 23:26:35.000,2020-12-19 13:26:52,,,,0.0,1.0,,,,1.0,,,,,,北理教务处套件.,,1,False,3.0,,,,,,,,,felinae98/bitJwcToolkit,https://gitee.com/felinae98/bitJwcToolkit,,,,,,,,,,,,,,,,,
168,BIT_Network_Login,https://github.com/mzbhy/BIT_Network_Login,lxalxy/BIT_Network_Login,srun,['python'],https://github.com/mzbhy/BIT_Network_Login,,2016-08-14 04:30:01.000,2016-12-07 12:05:32,2016-12-07 12:05:06,12.0,,,2.0,,,,1.0,,,,,,用于北理工网络认证的简单脚本.,3.0,1,False,3.0,,,,mzbhy/BIT_Network_Login,,,,,,,,,,,,,,,,,,,,,,,
169,YanhePrivilege,https://github.com/BIT-BOBH/YanhePrivilege,BIT-BOBH/YanhePrivilege,academic,['web'],https://github.com/BIT-BOBH/YanhePrivilege,,2022-06-28 13:32:40.000,2022-06-28 13:37:39,2022-06-28 13:37:32,1.0,,,,,,,1.0,,,,,,A tampermonkey script that allows you to play any class video in YanheKetang.,,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,北京理工大学自动评教助手,https://zhuanlan.zhihu.com/p/346248138,,academic,['python'],,,2021-01-23 12:56:38.000,2021-11-18 12:09:48,,,,0.0,1.0,,,,,,,,,,【小工具】北京理工大学自动评教助手.,,1,False,3.0,,,,,,,,,larry6799/pingjiao,https://gitee.com/larry6799/pingjiao,,,,,,,,,,,,,,,,,
171,英语学习笔记,https://bit-study-notes.gitee.io/college-english,,learning,,,,2023-03-03 16:33:26.000,2023-08-29 17:09:57,,,,0.0,1.0,,1.0,,,,,,,,北理工大学英语学习笔记.,,1,False,3.0,,,,,,,,,bit-study-notes/college-english,https://gitee.com/bit-study-notes/college-english,,,,,,,,,,,,,,,,,
172,校内服务器联网脚本,https://gitee.com/burette/BIT-WEB,,srun,['python'],,,2020-05-08 16:32:08.000,2020-12-19 08:24:27,,,,0.0,1.0,,,,,,,,,,北理工校内服务器联网脚本.,,1,False,3.0,,,,,,,,,burette/BIT-WEB,https://gitee.com/burette/BIT-WEB,,,,,,,,,,,,,,,,,
173,BITNetworkTool,https://github.com/lgasyou/BITNetworkTool,lgasyou/BITNetworkTool,srun,['python'],https://github.com/lgasyou/BITNetworkTool,,2020-09-11 13:21:08.000,2020-09-11 13:22:38,2020-09-11 13:20:04,1.0,,,2.0,,,,,,,,,,北京理工大学校园网命令行连接工具.,,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,BIT Beamer Theme,https://www.overleaf.com/latex/templates/bit-beamer-theme/ycbqhbxrqjvs,,template,,,CC BY 4.0,,,,,,,,,,,,,,,,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,北京理工大学学术答辩PPT模板（BITPPT）,https://mp.weixin.qq.com/s/8A_tKNG62o2lMrnDjqm6hw,,template,,,,,2024-09-21,,,,,,,,,,,,,,,选用北理代表的绿色和褐色，融入校徽、校训等校园文化元素，适合学术答辩、德育答辩、工作汇报等场景。此模板为在校学生个人制作，非学校官方制作；不用于营利，开放共享给所有北理人，可[从百度网盘下载..,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Slide-Style,https://github.com/Devil-SX/Slide-Style,Devil-SX/Slide-Style,apollo,,https://github.com/Devil-SX/Slide-Style,,2023-10-14 10:34:13.000,2023-10-14 10:34:26,2023-10-14 10:33:39,1.0,,,1.0,,,,,,,,,,能够调整 PPTX 幻灯片图片的色调使其统一.,,1,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,BITNP 新生电脑选购指南,https://docs.qq.com/aio/p/scmzu718dzus0zl,,agg,,,,,2024-09-07,,,,,,,,,,,,,,,本篇电脑推荐表旨在以较为普适而全面的视角，依据参数和价格推荐适合同学们在校园使用的笔记本。（电脑诊所是我校纯志愿性质组织，为全校师生无偿提供电脑维护服务。）.,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,基于Selenium的BIT-Web登录脚本,https://github.com/MmDawN/BIT_Srun_Login_Selenium,MmDawN/BIT_Srun_Login_Selenium,srun,['python'],https://github.com/MmDawN/BIT_Srun_Login_Selenium,,2020-11-27 11:56:43.000,2020-11-27 12:08:40,2020-11-27 12:00:52,1.0,,,1.0,,,,2.0,,,,,,北理工校园网自动登录脚本.,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,BITLeXueRANK,https://github.com/Decent898/BITLeXueRANK_2024C,Decent898/BITLeXueRANK_2024C,academic,,https://github.com/Decent898/BITLeXueRANK_2024C,,2024-03-15 11:11:10.000,2024-03-17 13:56:26,2024-03-17 13:50:47,15.0,,,1.0,,,,2.0,,,,,,2024年春季睿信-C语言程序设计排名更新系统.,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Python机器学习应用,https://gitee.com/chen_zi_chung/Machine-Learning-with-Python,,learning,,,,2020-04-22 08:20:38.000,2022-03-11 09:45:47,,,,0.0,1.0,,,,1.0,,,,,,北京理工大学Python相关系列全套课程.,,0,False,,,,,,,,,,chen_zi_chung/Machine-Learning-with-Python,https://gitee.com/chen_zi_chung/Machine-Learning-with-Python,,,,,,,,,,,,,,,,,
181,北京理工大学集成电路设计实践1,https://github.com/Devil-SX/integrated_circuit_practice,Devil-SX/integrated_circuit_practice,learning,['hdl'],https://github.com/Devil-SX/integrated_circuit_practice,,2022-05-16 14:36:00.000,2022-05-23 08:13:14,2022-05-23 08:13:04,3.0,,,2.0,,,1.0,1.0,,,,,,百丽宫集成电路设计实践课.,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,BIT-Zongce,https://github.com/Devil-SX/BIT-Zongce,Devil-SX/BIT-Zongce,office,,https://github.com/Devil-SX/BIT-Zongce,,2023-08-01 12:31:57.000,2023-08-05 07:37:56,2023-08-05 07:37:56,3.0,,1.0,1.0,1.0,,,1.0,,,,,,BIT 综测统计 自动化脚本.,2.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,合成北理工,https://daxigua.liyupi.com,,misc,['web'],,,2021-01-30 12:27:52.000,2021-08-30 12:59:22,,,,0.0,1.0,,,,,,,,,,,,0,False,,,,,,,,,,boboaini/synthetic-north-technology,https://gitee.com/boboaini/synthetic-north-technology,,,,,,,,,,,,,,,,,
184,智能制造与智能计算实验室,https://leidawt.gitee.io/bit-pse-public/,,exp,,,,,,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,leidawt/bit-pse,,,,,,,,,,,,,,,,,,
185,cst-notifier,{},UnicornBoss/cst-notifier,agg,['python'],,,,,,,,,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,yanhekt-killer,{},LeiyaoCui/yanhekt-killer,academic,['web'],,,,,,,,,,,,,,,,,,,"Eliminate the unfair authority, when we try to learn more in yanhekt.",,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
