,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,gitee_id,gitee_url,docs_url,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,trending,npm_id,npm_url,npm_monthly_downloads
0,BIThesis,https://bithesis.bitnp.net,BITNP/BIThesis,template,['latex'],https://github.com/BITNP/BIThesis,LPPL-1.3c,2020-01-12 14:44:20,2023-07-08 04:45:10,2023-07-08 01:45:57,899.0,148.0,92.0,9.0,192.0,4.0,169.0,442.0,2023-07-08 04:06:02,3.6.0-beta-10,7642.0,186.0,69.0,📖 北京理工大学非官方 LaTeX 模板集合，包含本科、研究生毕业设计模板及更多。🎉 （更多文档请访问 wiki 和 release 中的手册）.,22.0,21,True,1.0,,,,,,,,,,,,,,,,,
1,BitSrunLoginGo,https://github.com/Mmx233/BitSrunLoginGo,Mmx233/BitSrunLoginGo,srun,['go'],https://github.com/Mmx233/BitSrunLoginGo,AGPL-3.0,2021-03-13 08:45:26,2023-06-15 10:44:28,2023-06-15 10:44:10,274.0,23.0,20.0,1.0,3.0,,21.0,151.0,2023-06-05 14:08:36,1.3.9,2274.0,81.0,31.0,深澜校园网登录程序 Go 语言版，适用于路由器、windows、linux 等。提供对 OpenWrt、Docker、Go Module 的支持.,4.0,15,True,1.0,,,,,,,,,,,,,,,,,
2,vouv/srun,https://github.com/vouv/srun,vouv/srun,srun,['go'],https://github.com/vouv/srun,MIT,2018-09-13 14:25:59,2023-07-08 08:40:31,2023-07-08 08:40:31,154.0,2.0,25.0,4.0,4.0,,6.0,91.0,2021-01-02 10:19:25,1.1.5,1140.0,23.0,25.0,北京理工大学校园网命令行登录工具，多系统支持.,6.0,13,True,1.0,,,,,,,,,,,,,,,,,
3,bitsrun,https://github.com/BITNP/bitsrun,BITNP/bitsrun,srun,['python'],https://github.com/BITNP/bitsrun,WTFPL,2018-09-02 04:01:05,2023-07-12 04:21:07,2023-05-09 10:09:51,119.0,2.0,8.0,3.0,31.0,1.0,6.0,35.0,2023-05-09 10:12:15,3.5.2,,217.0,8.0,A headless login / logout script for 10.0.0.55 at BIT. 北京理工大学 10.0.0.55 校园网登录登出的 Python 实现.,7.0,12,True,2.0,bitsrun,1.0,1.0,https://pypi.org/project/bitsrun,217.0,,,,,,,,,,,,
4,Web VPN Converter,https://webvpn.swo.moe/,spencerwooo/bit-webvpn-converter,edu-cn,['Web'],https://github.com/spencerwooo/bit-webvpn-converter,,2020-07-01 04:30:50,2023-07-13 01:20:01,2023-07-13 01:19:59,191.0,59.0,25.0,4.0,145.0,1.0,7.0,70.0,,,,,,Web VPN converter.,7.0,11,True,1.0,,,,,,,,,,,,,,,,,
5,数据挖掘,https://bitdm.github.io/,BITDM/bitdm.github.io,exp,,https://github.com/BITDM/bitdm.github.io,,2015-06-13 00:49:08,2020-07-31 04:25:36,2020-07-31 04:25:25,1278.0,,155.0,8.0,391.0,,1.0,41.0,,,,,,Contents for data mining course.,153.0,11,False,1.0,,,,,,,,,,,,,,,,,
6,BIThesis-wiki,https://bithesis.bitnp.net,BITNP/BIThesis-wiki,template,['latex'],https://github.com/BITNP/BIThesis-wiki,CC0-1.0,2020-11-25 12:05:29,2023-07-10 20:53:41,2023-07-10 04:51:02,419.0,54.0,3.0,5.0,60.0,6.0,28.0,6.0,,,,,,非官方本科生毕业设计论文/研究生学位论文 LaTeX 模板（以及更多）在线文档.,13.0,11,True,1.0,,,,,,,,,,,,,,,,,
7,BIT-Thesis,https://github.com/BIT-thesis/LaTeX-template,BIT-thesis/LaTeX-template,template,['latex'],https://github.com/BIT-thesis/LaTeX-template,,2017-03-08 01:23:55,2022-06-24 08:49:53,2018-11-09 03:32:21,105.0,,86.0,17.0,12.0,22.0,22.0,320.0,2018-11-09 03:35:12,1.5,,,5.0,LaTeX template for BIT thesis.,6.0,10,False,2.0,,,,,,five_cost_QiFei/LaTeX-template,https://gitee.com/five_cost_QiFei/LaTeX-template,,,,,,,,,,
8,BIT-CS-Learning,https://github.com/songshangru/BIT-CS-Learning,songshangru/BIT-CS-Learning,learning,,https://github.com/songshangru/BIT-CS-Learning,,2021-01-01 06:09:41,2023-06-21 13:10:43,2023-06-21 13:10:42,109.0,20.0,50.0,5.0,21.0,,2.0,151.0,,,,,,保存一下我自己整理的北理工计科的学习资料，欢迎分享资源.,6.0,9,True,1.0,,,,,,,,,,,,,,,,,
9,zu1k/srun,https://github.com/zu1k/srun,zu1k/srun,srun,['rust'],https://github.com/zu1k/srun,GPL-3.0,2021-11-02 13:52:39,2023-04-13 17:09:58,2023-04-11 06:23:57,83.0,,13.0,2.0,19.0,,10.0,141.0,2022-06-20 05:51:30,0.5.5,1552.0,77.0,19.0,srun 深澜认证登录，超轻量、多平台，支持多拨、自动探测IP、指定网卡.,3.0,9,True,2.0,,,,,,,,,,,,,,,,,
10,BIT-CS,https://github.com/xiabee/BIT-CS,xiabee/BIT-CS,learning,,https://github.com/xiabee/BIT-CS,Apache-2.0,2020-03-14 12:24:55,2021-12-14 11:20:18,2021-12-14 11:18:13,67.0,,28.0,4.0,,1.0,3.0,140.0,,,,,,北京理工大学计算机学院课程代码/历年试卷/知识点总结等，欢迎PR.,,9,False,1.0,,,,,,,,,,,,,,,,,
11,Bulletin Issues Transferred,https://haobit.top/dev/site/notice/,YDX-2147483647/bulletin-issues-transferred,agg,['Web'],https://github.com/YDX-2147483647/bulletin-issues-transferred,MIT,2021-12-11 15:23:43,2023-07-10 22:14:23,2023-07-10 14:14:04,148.0,22.0,1.0,4.0,8.0,4.0,17.0,21.0,,,,,,汇总 BIT 各种网站的通知。（以及钉钉、RSS插件等）.,3.0,9,True,1.0,,,,,,YDX-2147483647/bulletin-issues-transferred,https://gitee.com/YDX-2147483647/bulletin-issues-transferred,,,,,,,,,,
12,BIT-srun-login-script,https://github.com/coffeehat/BIT-srun-login-script,coffeehat/BIT-srun-login-script,srun,['python'],https://github.com/coffeehat/BIT-srun-login-script,MIT,2020-04-01 14:17:26,2022-09-13 12:27:19,2022-09-13 12:27:19,19.0,,37.0,3.0,5.0,,3.0,125.0,,,,,,北京理工大学深澜校园网登录脚本，以实现命令行登录或者断线重连等，仅提供登录功能.,5.0,8,True,2.0,,,,,,,,,,,,,,,,,
13,BIT-MiniCC,https://github.com/jiweixing/BIT-MiniCC,jiweixing/BIT-MiniCC,apollo,,https://github.com/jiweixing/BIT-MiniCC,,2016-04-13 05:47:59,2023-05-17 05:40:04,2023-05-17 05:40:04,64.0,1.0,105.0,12.0,8.0,2.0,6.0,178.0,,,,,,A C compiler framework in Java.,2.0,7,True,1.0,,,,,,,,,,,,,,,,,
14,BITCS Coursework,https://github.com/spencerwooo/BITCS-Coursework,spencerwooo/BITCS-Coursework,learning,,https://github.com/spencerwooo/BITCS-Coursework,CC-BY-SA-4.0,2019-04-29 15:24:01,2021-06-07 05:15:07,2020-01-11 10:15:06,17.0,,26.0,4.0,1.0,,,130.0,,,,,,不完整北京理工大学计算机学院课程项目资料清单。.,2.0,7,False,2.0,,,,,,,,,,,,,,,,,
15,BITthesis,https://github.com/qiuzhu/BITthesis,qiuzhu/BITthesis,template,['latex'],https://github.com/qiuzhu/BITthesis,GPL-3.0,2016-08-17 08:41:37,2017-10-11 05:32:37,2017-09-08 12:53:22,142.0,,19.0,5.0,6.0,2.0,,57.0,2017-08-11 09:39:55,1.3,,,4.0,Thesis Template of Beijing Institute of Technology Using LaTeX.,2.0,7,False,2.0,,,,,,,,,,,,,,,,,
16,bitroom (Book an Incongruent Topological Room Or be Out of Mind),https://github.com/YDX-2147483647/bitroom,YDX-2147483647/bitroom,cal,['python'],https://github.com/YDX-2147483647/bitroom,MIT,2023-05-04 13:18:27,2023-07-10 14:17:16,2023-07-10 14:17:16,30.0,30.0,,1.0,,1.0,4.0,,,,,82.0,,BIT 场地预约查询接口。（bitroom）🚩🏠.,,7,True,1.0,bitroom,,,https://pypi.org/project/bitroom,82.0,,,https://github.com/YDX-2147483647/bitroom/wiki,,,,,,,,,
17,幻影坦克快速发车工具(带图形界面),https://github.com/Aloxaf/MirageTankGo,Aloxaf/MirageTankGo,apollo,['python'],https://github.com/Aloxaf/MirageTankGo,GPL-3.0,2018-01-20 15:00:18,2019-11-27 07:10:24,2019-08-20 05:33:30,20.0,,17.0,4.0,2.0,1.0,,115.0,,,,,,幻影坦克(特指点开后不一样的图片)快速发车工具.,,6,False,2.0,,,,,,,,,,,,,,,,,
18,北京理工大学-本科-人工智能专业-通关经验包,https://github.com/Robin-WZQ/BIT-AI-Review,Robin-WZQ/BIT-AI-Review,learning,,https://github.com/Robin-WZQ/BIT-AI-Review,,2022-01-04 03:42:17,2023-06-07 00:37:04,2023-06-07 00:37:04,555.0,6.0,7.0,1.0,2.0,1.0,1.0,56.0,,,,,,本项目分享了本人在北京理工大学计算机学院人工智能专业的相关课程资料与经验分享。希望对你们有所帮助❤️，如果喜欢的话记得给个star哦🌟.,3.0,6,True,2.0,,,,,,,,,,,,,,,,,
19,BIT101,https://bit101.cn,flwfdd/BIT101,agg,['web'],https://github.com/flwfdd/BIT101,AGPL-3.0,2022-02-22 13:24:29,2023-06-29 01:33:44,2023-05-18 03:44:13,47.0,2.0,4.0,3.0,2.0,4.0,8.0,55.0,,,,,,百丽宫攻略、课程评价及资料、课表、查成绩。.,2.0,6,True,2.0,,,,,,,,,,,,,,,,,
20,BIT-thesis-LaTex,https://github.com/jiandahao/BIT-thesis-LaTex,jiandahao/BIT-thesis-LaTex,template,['latex'],https://github.com/jiandahao/BIT-thesis-LaTex,MIT,2019-05-14 03:08:50,2020-05-06 16:07:52,2020-05-06 16:07:51,27.0,,17.0,2.0,1.0,1.0,,49.0,,,,,,北京理工大学学硕士/博士学位毕业论文LaTeX模板（LaTeX Template for BIT thesis）.,2.0,6,False,2.0,,,,,,,,,,,,,,,,,
21,BITCS-final-exam-learning-materials-1,https://github.com/zedarbit/BITCS-final-exam-learning-materials-1,zedarbit/BITCS-final-exam-learning-materials-1,learning,,https://github.com/zedarbit/BITCS-final-exam-learning-materials-1,GPL-3.0,2021-07-07 08:22:54,2021-12-08 02:09:57,2021-12-08 02:09:57,31.0,,12.0,,,,,40.0,,,,,,北理工计算机大一到大四各学期CS期末考试复习资料/历年考题汇总，欢迎PR.,2.0,6,False,2.0,,,,,,,,,,,,,,,,,
22,MIPS 指令集 CPU 设计,https://github.com/bit-mips/bitmips_experiments,bit-mips/bitmips_experiments,exp,"['asm', 'hdl']",https://github.com/bit-mips/bitmips_experiments,,2019-11-11 12:08:37,2020-09-23 06:54:12,2020-09-23 06:53:48,31.0,,8.0,3.0,2.0,,,29.0,,,,,,北京理工大学 MIPS 指令集 CPU 设计系列教学实验.,4.0,6,False,2.0,,,,,,,,,,,,,,,,,
23,图书馆座位预约系统辅助工具,https://github.com/DefJia/Auto_Reservation_System_BE,DefJia/Auto_Reservation_System_BE,cal,['python'],https://github.com/DefJia/Auto_Reservation_System_BE,Apache-2.0,2018-10-13 17:14:21,2021-12-01 11:47:57,2021-12-01 11:47:45,61.0,,8.0,2.0,1.0,3.0,8.0,16.0,,,,,,图书馆座位预约系统辅助工具 An auxiliary tool for booking seats in Library Seat Reservation System.,3.0,6,False,2.0,,,,,,,,,,,,,,,,,
24,PySPT,https://spaitlab.gitee.io/py-spt/index.html,,apollo,['python'],,MIT,2022-05-08 18:43:27,2023-07-03 16:52:25,,,,19.0,11.0,,,,14.0,,,,,,Python信号处理工具箱 Python Signal Processing Toolbox.,,6,True,2.0,,,,,,spaitlab/py-spt,https://gitee.com/spaitlab/py-spt,,,,,,,,,,
25,网协主页,https://www.bitnp.net/,BITNP/bitnp-website,org,['web'],https://github.com/BITNP/bitnp-website,,2022-08-12 09:16:11,2023-04-19 10:48:57,2023-02-27 03:11:12,157.0,,5.0,5.0,4.0,1.0,4.0,10.0,,,,,,The website of Net Pioneer Association of BIT.,11.0,6,True,1.0,,,,,,iruhh/bitnp-website,https://gitee.com/iruhh/bitnp-website,,,,,,,,,,
26,BIT-Report-LaTeX,https://github.com/CharlieLeee/BIT-Report-LaTeX,CharlieLeee/BIT-Report-LaTeX,template,['latex'],https://github.com/CharlieLeee/BIT-Report-LaTeX,MIT,2020-05-29 04:07:15,2020-11-19 11:54:17,2020-11-19 11:53:55,29.0,,1.0,,,1.0,,8.0,2020-10-18 12:00:40,1.0,,,1.0,English and Chinese LaTeX template for reports/projects/proposal at Beijing Institute of Technology.,,6,False,2.0,,,,,,,,,,,,,,,,,
27,BIT-enhanced,https://ydx-2147483647.github.io/BIT-enhanced/,YDX-2147483647/BIT-enhanced,edu-cn,['Web'],https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37,2023-07-12 19:58:00,2023-07-12 11:55:29,176.0,16.0,3.0,1.0,2.0,1.0,2.0,6.0,,,,,,一些方便大家使用 BIT 相关网站的用户脚本和用户样式表。.,2.0,6,True,2.0,,,,,,YDX-2147483647/BIT-enhanced,https://gitee.com/YDX-2147483647/BIT-enhanced,,,,,,,,,,
28,BIT睿信空间预约,https://bitrxc.com,bitrxc/bitrxc-server,cal,['web'],https://github.com/bitrxc/bitrxc-server,AGPL-3.0,2021-01-28 01:55:52,2022-07-27 22:42:51,2022-04-14 12:42:57,255.0,,4.0,1.0,38.0,,,4.0,2021-04-30 01:18:04,beta-1.1.1,,,1.0,Server of Management System of BIT Ruixin Community.,6.0,6,False,2.0,,,,,,,,,,,,,,,,,
29,BITCS-final-exam-learning-materials,https://github.com/tulerfeng/BITCS-final-exam-learning-materials,tulerfeng/BITCS-final-exam-learning-materials,learning,,https://github.com/tulerfeng/BITCS-final-exam-learning-materials,GPL-3.0,2021-05-25 04:40:22,2021-05-25 03:23:44,2021-05-25 03:22:08,5.0,,6.0,1.0,,,,36.0,,,,,,北理工计算机CS期末考试复习资料/历年考题汇总，欢迎PR.,,5,False,2.0,,,,,,,,,,,,,,,,,
30,BIT自动请假,https://github.com/YoungKlaus/BIT_Auto_Leave,YoungKlaus/BIT_Auto_Leave,cal,['python'],https://github.com/YoungKlaus/BIT_Auto_Leave,,2022-09-28 09:14:11,2022-11-08 16:00:52,2022-11-08 16:00:52,31.0,,27.0,1.0,1.0,,1.0,28.0,,,,,,北京理工大学自动请假.,,5,True,2.0,,,,,,,,,,,,,,,,,
31,BIT-campus-network-CLI,https://github.com/LiJinyao/BIT-campus-network-CLI,LiJinyao/BIT-campus-network-CLI,srun,['web'],https://github.com/LiJinyao/BIT-campus-network-CLI,MIT,2018-11-17 19:13:56,2021-01-31 03:45:03,2020-04-11 15:29:02,16.0,,9.0,1.0,1.0,,1.0,27.0,,,,,,帮助你在无法使用浏览器的情况下登陆北理工校园网🍻.,,5,False,2.0,,,,,,,,,,,,,,,,,
32,SecretWeapon,https://github.com/BITNP/SecretWeapon,BITNP/SecretWeapon,learning,,https://github.com/BITNP/SecretWeapon,,2016-03-27 05:57:53,2021-12-09 03:32:00,2021-12-09 03:32:00,35.0,,13.0,8.0,1.0,,1.0,23.0,,,,,,Secret weapons that arm your studies.,8.0,5,False,2.0,,,,,,,,,,,,,,,,,
33,Rust-toys ➡️ bitlogin,https://github.com/Aloxaf/Rust-toys,Aloxaf/Rust-toys,srun,['rust'],https://github.com/Aloxaf/Rust-toys,,2018-09-19 13:27:15,2019-03-30 05:28:41,2019-03-30 05:28:33,34.0,,4.0,3.0,,,,18.0,,,,,,10_0_0_55_login 的 rust 实现.,,5,False,2.0,,,,,,,,,,,,,,,,,
34,理治棋壮,https://github.com/sswv/bitstronger,sswv/bitstronger,apollo,['cpp'],https://github.com/sswv/bitstronger,GPL-2.0,2015-06-06 00:42:19,2015-06-06 01:28:31,2015-06-06 01:28:27,3.0,,11.0,3.0,,,,15.0,,,,,,一个基于中国象棋通用引擎协议（UCCI）的中国象棋计算机博弈引擎。.,,5,False,3.0,,,,,,,,,,,,,,,,,
35,BIT-Titled-Letter-Paper,https://github.com/jincao2013/BIT-Titled-Letter-Paper,jincao2013/BIT-Titled-Letter-Paper,misc,,https://github.com/jincao2013/BIT-Titled-Letter-Paper,MIT,2019-05-07 10:03:17,2019-05-07 10:15:06,2019-05-07 10:15:06,4.0,,1.0,,,,,11.0,,,,,,Beijing institute of technology titled letter paper (北京理工大学抬头纸).,,5,False,1.0,,,,,,,,,,,,,,,,,
36,BIT-Automation-Proposal-Report,https://github.com/CharlieLeee/BIT-Automation-Proposal-Report,CharlieLeee/BIT-Automation-Proposal-Report,template,['latex'],https://github.com/CharlieLeee/BIT-Automation-Proposal-Report,MIT,2021-01-02 05:28:05,2021-05-10 16:23:44,2021-05-10 16:23:44,14.0,,2.0,1.0,2.0,,,9.0,2021-01-31 13:49:36,2.1,,,3.0,北理自动化毕业设计开题报告LaTeX模板.,,5,False,3.0,,,,,,,,,,,,,,,,,
37,PyFMT,https://spaitlab.gitee.io/py-fmt/index.html,,apollo,['python'],,GPL-2.0,2021-11-20 22:03:10,2023-06-22 23:53:54,,,,5.0,10.0,,,,5.0,,,,,,Python基础数学工具箱 Python Fundamental Mathematics Toolbox.,,5,True,3.0,,,,,,spaitlab/py-fmt,https://gitee.com/spaitlab/py-fmt,,,,,,,,,,
38,BITNP LibreSpeed 内网测速,http://speed.bitnp.net/,everything411/speedtest-go,edu-cn,,https://github.com/everything411/speedtest-go,LGPL-3.0,2021-11-19 05:37:00,2022-04-13 05:33:54,2022-04-13 05:33:41,47.0,,,,1.0,,,,,,,,,Go backend for LibreSpeed.,15.0,5,False,2.0,,,,,,,,,,,,,,,,,
39,针对参加龙芯杯的若干建议,https://github.com/Silverster98/bit_nscscc_suggestion,Silverster98/bit_nscscc_suggestion,exp,,https://github.com/Silverster98/bit_nscscc_suggestion,,2019-08-30 01:43:56,2020-10-24 09:21:50,2020-10-24 09:21:50,15.0,,10.0,5.0,1.0,,,87.0,,,,,,为了更好地帮助后来的同学参加龙芯杯，草拟了这份建议，望对后来人有所帮助.,2.0,4,False,2.0,,,,,,,,,,,,,,,,,
40,LaTeX-materials,https://github.com/BIT-thesis/LaTeX-materials,BIT-thesis/LaTeX-materials,learning,['latex'],https://github.com/BIT-thesis/LaTeX-materials,,2017-09-12 03:56:00,2017-09-13 03:40:46,2017-09-13 03:23:53,2.0,,18.0,4.0,,,,55.0,,,,,,LaTeX 学习资料 （for BIT-Thesis）.,,4,False,3.0,,,,,,,,,,,,,,,,,
41,北理工延河课堂视频下载,https://github.com/GDDG08/YanHeKT_Downloader,GDDG08/YanHeKT_Downloader,academic,['python'],https://github.com/GDDG08/YanHeKT_Downloader,MPL-2.0,2023-04-01 15:27:44,2023-05-17 03:51:48,2023-05-17 03:51:48,6.0,4.0,1.0,2.0,1.0,,1.0,11.0,2023-04-20 15:26:19,PuBeta-1.1,18.0,6.0,2.0,北理工延河课堂视频下载.,2.0,4,True,1.0,,,,,,,,,,,,,,,,,
42,lexue_ddl,https://github.com/xiabee/lexue_ddl,xiabee/lexue_ddl,cal,['python'],https://github.com/xiabee/lexue_ddl,,2020-03-03 14:03:32,2023-05-23 00:14:32,2022-09-01 07:17:42,27.0,,1.0,1.0,7.0,,,6.0,,,,,,view your own deadline of lexue.bit.edu.cn.,3.0,4,True,3.0,,,,,,,,,,,,,,,,,
43,Aya Login,http://frantic1048.com/aya-login/,frantic1048/aya-login,srun,['web'],https://github.com/frantic1048/aya-login,MIT,2015-03-21 08:07:14,2015-10-21 00:24:53,2015-10-21 00:23:02,25.0,,,4.0,,2.0,1.0,4.0,,,,,,这是一个用于浏览器的 UserScript，提升 bit srun 3000 校园网登录体验。.,2.0,4,False,2.0,,,,,,,,,,,,,,,,,
44,bitunion,https://github.com/finalion/bitunion,finalion/bitunion,org,,https://github.com/finalion/bitunion,,2013-06-06 11:28:25,2013-07-28 17:22:13,2013-07-28 17:22:01,15.0,,5.0,4.0,,,,4.0,,,,,,北理FTP联盟论坛android客户端.,,4,False,2.0,,,,,,,,,,,,,,,,,
45,Batch_Collections ➡️ Campus_network,https://github.com/KJH-x/Batch_Collections,KJH-x/Batch_Collections,srun,['python'],https://github.com/KJH-x/Batch_Collections,WTFPL,2022-11-30 07:58:14,2023-07-07 04:24:44,2023-07-07 04:24:44,69.0,25.0,1.0,1.0,1.0,,1.0,3.0,,,,,,校园网脚本（登录、登出，自动重连）.,2.0,4,True,2.0,,,,,,,,,,,,,,,,,
46,bit-jwc-v1,https://github.com/Freeza91/bit-jwc-v1,Freeza91/bit-jwc-v1,academic,,https://github.com/Freeza91/bit-jwc-v1,,2014-11-06 13:43:18,2014-12-22 07:28:41,2014-12-22 07:28:34,69.0,,,5.0,,,,3.0,,,,,,教务处数据、微信交互、登录北理在线、课表简单排序。.,,4,False,1.0,,,,,,,,,,,,,,,,,
47,BUApp,https://github.com/wuhao-ouyang/BUApp,wuhao-ouyang/BUApp,org,,https://github.com/wuhao-ouyang/BUApp,,2014-02-11 18:01:22,2019-12-18 00:06:45,2019-11-25 22:59:02,114.0,,2.0,3.0,1.0,1.0,4.0,3.0,,,,,,北理FTP联盟android客户端.,3.0,4,False,2.0,,,,,,,,,,,,,,,,,
48,oh_my_course,https://github.com/MichaelToLearn/oh_my_course,MichaelToLearn/oh_my_course,academic,['python'],https://github.com/MichaelToLearn/oh_my_course,Apache-2.0,2019-01-15 12:30:01,2019-01-15 12:49:29,2019-01-15 12:49:28,5.0,,,,,,,3.0,,,,,,【北理工】填一个excel表格就能抢课的python脚本。.,2.0,4,False,1.0,,,,,,,,,,,,,,,,,
49,未来精工生存指南,https://bitft-wiki.vercel.app,TT2TER/BITFTechWiki,agg,,https://github.com/TT2TER/BITFTechWiki,GPL-3.0,2022-08-19 07:42:24,2022-09-02 13:50:20,2022-09-02 02:02:09,30.0,,1.0,1.0,,,,,,,,,,北理工未来精工技术学院生存指南.,,4,True,2.0,,,,,,tt29294/BITFTechWiki,https://gitee.com/tt29294/BITFTechWiki,,,,,,,,,,
50,智能制造与智能计算实验室,https://leidawt.gitee.io/bit-pse-public/,,exp,,,MIT,2020-11-10 20:38:58,2022-06-05 21:45:49,,,,0.0,3.0,,,,,,,,,,实验室网站hugo工程 PSE lab of Beijing Institute of Technology.,,4,False,2.0,,,,,,leidawt/bit-pse,https://gitee.com/leidawt/bit-pse,,,,,,,,,,
51,BIT-Auto-Login-System,https://github.com/majingbit/BIT-Auto-Login-System,majingbit/BIT-Auto-Login-System,srun,,https://github.com/majingbit/BIT-Auto-Login-System,MIT,2017-09-24 02:02:26,2017-09-22 06:28:17,2017-09-22 06:28:06,6.0,,,2.0,,,,,,,,,,北理工（北京理工大学）校园网自动登录系统（ for Alfred with Mac），Alfred 工作流，Alfred workflow.,,4,False,2.0,,,,,,,,,,,,,,,,,
52,优化北理工成绩列表显示,https://greasyfork.org/scripts/456009-%E4%BC%98%E5%8C%96%E5%8C%97%E7%90%86%E5%B7%A5%E6%88%90%E7%BB%A9%E5%88%97%E8%A1%A8%E6%98%BE%E7%A4%BA,,academic,['web'],,MIT License,2022-12-04 17:43:09,2022-12-04 17:43:08,,,,,,,,,,,,,,,脚本适用于北京理工大学教务系统成绩查询界面（无论是校内访问还是webvpn访问），调整成绩查询后显示的表格的列宽，使其显示得更加有条理。.,,4,True,1.0,,,,,,,,,456009.0,https://greasyfork.org/scripts/456009,https://greasyfork.org/scripts/456009-%E4%BC%98%E5%8C%96%E5%8C%97%E7%90%86%E5%B7%A5%E6%88%90%E7%BB%A9%E5%88%97%E8%A1%A8%E6%98%BE%E7%A4%BA/code/%E4%BC%98%E5%8C%96%E5%8C%97%E7%90%86%E5%B7%A5%E6%88%90%E7%BB%A9%E5%88%97%E8%A1%A8%E6%98%BE%E7%A4%BA.user.js,3.0,5.0,,,,
53,北京理工大学评教脚本,https://greasyfork.org/scripts/446772-%E5%8C%97%E4%BA%AC%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6%E8%AF%84%E6%95%99%E8%84%9A%E6%9C%AC,,academic,['web'],,MIT License,2022-06-20 11:58:49,2022-06-20 12:24:39,,,,,,,,,,,,,,,北理工一键评教.,,4,False,1.0,,,,,,,,,446772.0,https://greasyfork.org/scripts/446772,https://greasyfork.org/scripts/446772-%E5%8C%97%E4%BA%AC%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6%E8%AF%84%E6%95%99%E8%84%9A%E6%9C%AC/code/%E5%8C%97%E4%BA%AC%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6%E8%AF%84%E6%95%99%E8%84%9A%E6%9C%AC.user.js,21.0,5.0,,,,
